stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
933,GERTIMNF,GERMANTOWN@TIMBER CREEK,78 STATE HWY 177 & TIMBER CREEK DR,35.127547,-89.797986,,,,,,0
934,GERCENNF,GERMANTOWN@CENTERVIEW PKWY,S GERMANTOWN RD & CENTERVIEW PKWY,35.129369,-89.797492,,,,,,0
936,GERNORNF,GERMANTOWN@NORWICH,STATE HWY 177 & NORWICH DR,35.136488,-89.795807,,,,,,0
937,GERWOONN,GERMANTOWN@WOOD ARBOR PK,STATE HWY 177 & FRIARS POINT LN,35.140276,-89.795506,,,,,,0
938,GERTRINN,GERMANTOWN@TRINITY,? STATE HWY 177 & GERMANTOWN PKWY,35.141661,-89.795412,,,,,,0
939,GERTRINF,GERMANTOWN@TRINTY,670 STATE HWY 177 & TRINITY RD,35.143001,-89.795363,,,,,,0
940,GERWALNM,GERMANTOWN@WALNUT RUN,STATE HWY 177 & GERMANTOWN PKWY,35.145048,-89.795312,,,,,,0
941,GERWA1NF,GERMANTOWN@WALNUT RUN,STATE HWY 177 & WALNUT RUN RD,35.147603,-89.795247,,,,,,0
942,GERCORNN,GERMANTOWN@CORDOVA STATION,STATE HWY 177 & CORDOVA STATION AVE,35.150651,-89.795159,,,,,,0
943,GERMACNF,GERMANTOWN@MACON,1068 STATE HWY 177 & GERMANTOWN PKWY,35.154324,-89.795112,,,,,,0
944,GERCORNM,GERMANTOWN@CORDOVA,STATE HWY 177 & GERMANTOWN PKWY,35.15637,-89.795227,,,,,,0
945,GERCORNF,GERMANTOWN@CORDOVA,? STATE HWY 177 & CORDOVA RD,35.158452,-89.795098,,,,,,0
946,GERCLUNM,GERMANTOWN@CLUB PARKWAY,STATE HWY 177 & GERMANTOWN PKWY,35.16166,-89.794721,,,,,,0
947,GERSHANN,GERMANTOWN@SHALLOW GLEN,STATE HWY 177 & SHALLOW GLEN TRL,35.166161,-89.793409,,,,,,0
948,GERCO1NM,GERMANTOWN@CORDOVA CENTER DR,STATE HWY 177 & GERMANTOWN PKWY,35.170208,-89.792885,,,,,,0
949,GERCO1NF,GERMANTOWN@CORDOVA CENTER DR,STATE HWY 177 & GERMANTOWN PKWY,35.17136,-89.792881,,,,,,0
950,GERDEXNF,GERMANTOWN PKWY @ DEXTER RD,N GERMANTOWN PKY & N GERMANTOWN PKWY,35.174372,-89.792782,,,,,,0
951,GERCHINF,GERMANTOWN PKY@CHIMNEY ROCK,N GERMANTOWN PKY & AMBERGATE LN,35.182486,-89.792609,,,,,,0
952,GERBELNN,GERMANTOWN PKWY@BELLEVUE PKWY,BELLEVUE PKY & N GERMANTOWN PKY,35.185149,-89.79261,,,,,,0
953,GERVARNF,GERMANTOWN PKY@VARNAVAS,N GERMANTOWN PKY & GERMANTOWN PKWY,35.188723,-89.792431,,,,,,0
954,GERROCNF,GERMANTOWN PKY@ROCK CREEK,N GERMANTOWN PKY & ROCKCREEK PKWY,35.192377,-89.792296,,,,,,0
955,GERGIANF,GERMANTOWN@GIACOSA,STATE HWY 177 & GIACOSA PL,35.199427,-89.792027,,,,,,0
956,GERWOLNF,GERMANTOWN@WOLFCREEK PKWY,STATE HWY 177 & N GERMANTOWN PKWY,35.202546,-89.791927,,,,,,0
957,FLESTASF,FLETCHER TRACE PKWY@STAGE RD,FLETCHER TRACE PKWY & HIGHWAY 64,35.203791,-89.760653,,,,,,0
958,FLEFLESN,FLETCHER TRACE@FLETCHER VIEW,FLETCHER TRACE PKWY & HIGHWAY 64,35.200987,-89.758294,,,,,,0
959,FLEBEREN,FLETCHER TRACE@BERRY HILL,FLETCHER TRACE PKWY & MORNING TRACE DR,35.201552,-89.755445,,,,,,0
960,BERMORNF,BERRYHILL@MORNING PARK,BERRYHILL RD & MORNING PARK DR,35.202514,-89.754466,,,,,,0
961,STAFLEWM,STAGE@FLETCHER TRACE,US HWY 64 & FLETCHER TRACE PKWY,35.204581,-89.758689,,,,,,0
962,STAROCWF,STAGE@ROCK CREEK PKWY,STATE HWY 15 & ROCKCREEK PKWY,35.204553,-89.765113,,,,,,0
963,STAWALWM,STAGE@WALMART DR,? US HWY 64 & CONNECTING RD,35.204484,-89.7802,,,,,,0
964,STAWALWN,STAGE@WALMART DR,US HWY 64 & CONNECTING RD,35.204488,-89.781818,,,,,,0
965,STAKATWN,STAGE@KATE HYDE BLVD,US HWY 64 & UNNAMED ST,35.204538,-89.78431,,,,,,0
966,STAGERWM,STAGE@GERMANTOWN,0 64 & CONNECTING RD,35.204575,-89.788375,,,,,,0
967,STAGERWF,STAGE@GERMANTOWN,STAGE RD & CONNECTING RD,35.204756,-89.793082,,,,,,0
968,STAWOLWN,STAGE@WOLFCREEK PKWY,? US HWY 64 & WOLFCREEK PKWY,35.204806,-89.795574,,,,,,0
969,STAKATWM,STAGE@KATE BOND,STAGE RD & KATE BOND RD,35.204808,-89.799949,,,,,,0
