stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,corner_placement,stop_position,on_street,at_street,heading
3526,3526,Wickersham/Elmont,00000 Wickersham & Elmont,30.233631,-97.720092,,https://www.capmetro.org/stopdetail/index.php?stop=3526,0,,,0,SW,M,Wickersham,Elmont,194
3527,3527,2316 Pleasant Valley/Anken,002316 Pleasant Valley & Anken,30.22936,-97.726739,,https://www.capmetro.org/stopdetail/index.php?stop=3527,0,,,0,SW,F,Pleasant Valley,Anken,209
3529,3529,Disch-Falk Field,001900 Disch-Falk & Martin Luther King,30.279195,-97.727256,,https://www.capmetro.org/stopdetail/index.php?stop=3529,0,,,0,NW,N,Disch-Falk,Martin Luther King,170
3532,3532,45th / Bennett,001012 45Th & Bennett,30.303935,-97.717598,,https://www.capmetro.org/stopdetail/index.php?stop=3532,0,,,0,NE,N,45Th,Bennett,298
3535,3535,2200 Burton/Oltorf,002200 Burton & Oltorf,30.231271,-97.733733,,https://www.capmetro.org/stopdetail/index.php?stop=3535,0,,,0,NW,N,Burton,Oltorf,192
3647,3647,6917 Wentworth/Colony Loop,006917 Wentworth & Colony Loop,30.295796,-97.628031,,https://www.capmetro.org/stopdetail/index.php?stop=3647,0,,,0,SW,N,Wentworth,Colony Loop,69
3655,3655,LBJ High School,005200 Pecan Brook & Rio,30.314586,-97.656099,,https://www.capmetro.org/stopdetail/index.php?stop=3655,0,,,0,SE,F,Pecan Brook,Rio,121
3722,3722,3513 Oak Springs/Gunter,003513 Oak Springs & Gunter,30.27375,-97.694929,,https://www.capmetro.org/stopdetail/index.php?stop=3722,0,,,0,SW,N,Oak Springs,Gunter,92
3728,3728,Rosewood/Chestnut,002300 Rosewood & Chestnut,30.270419,-97.715,,https://www.capmetro.org/stopdetail/index.php?stop=3728,0,,,0,NE,N,Rosewood,Chestnut,258
3729,3729,Rosewood/Alamo,002100 Rosewood & Alamo,30.270096,-97.717001,,https://www.capmetro.org/stopdetail/index.php?stop=3729,0,,,0,NE,N,Rosewood,Alamo,263
3730,3730,1422 Rosewood/Angelina,001422 Rosewood & Angelina,30.268978,-97.724138,,https://www.capmetro.org/stopdetail/index.php?stop=3730,0,,,0,NE,N,Rosewood,Angelina,261
3731,3731,1200 11th/Lydia,001200 11TH & LYDIA,30.268704,-97.727634,,https://www.capmetro.org/stopdetail/index.php?stop=3731,0,,,0,NW,F,11Th,Lydia,295
3750,3750,400 23rd/San Jacinto,000400 23Rd & San Jacinto,30.285363,-97.733502,,https://www.capmetro.org/stopdetail/index.php?stop=3750,0,,,0,NE,N,23Rd,San Jacinto,273
3753,3753,9510 Menchaca/Monarch,009510 Menchaca & Monarch,30.176806,-97.822278,,https://www.capmetro.org/stopdetail/index.php?stop=3753,0,,,0,NW,N,Menchaca,Monarch,209
3754,3754,9700 Menchaca/Slaughter,009700 Menchaca & Slaughter,30.175459,-97.822734,,https://www.capmetro.org/stopdetail/index.php?stop=3754,0,,,0,NE,F,Menchaca,Slaughter,24
3757,3757,7901 S 1st/Dittmar,007901 1St & Dittmar,30.183697,-97.79269,,https://www.capmetro.org/stopdetail/index.php?stop=3757,0,,,0,SE,N,1St,Dittmar,33
3763,3763,7200 S 1st/Prince Valiant,007200 1St & Prince Valiant,30.191739,-97.790498,,https://www.capmetro.org/stopdetail/index.php?stop=3763,0,,,0,SW,F,1St,Prince Valiant,180
3764,3764,8318 S 1st/Great Britain,008318 1St & Great Britain,30.179602,-97.79606,,https://www.capmetro.org/stopdetail/index.php?stop=3764,0,,,0,NW,N,1St,Great Britain,212
3766,3766,818 Slaughter/Palace,000818 Slaughter & Palace,30.174142,-97.806358,,https://www.capmetro.org/stopdetail/index.php?stop=3766,0,,,0,NW,F,Slaughter,Palace,268
3767,3767,815 Slaughter/Palace,000815 Slaughter & Palace,30.173859,-97.805997,,https://www.capmetro.org/stopdetail/index.php?stop=3767,0,,,0,SW,N,Slaughter,Palace,88
3768,3768,8515 S 1st/Hyde Park,008515 1St & Hyde Park,30.176671,-97.797694,,https://www.capmetro.org/stopdetail/index.php?stop=3768,0,,,0,NE,F,1St,Hyde Park,28
3769,3769,8313 S 1st/Great Britain,008313 1St & Great Britain,30.179635,-97.795803,,https://www.capmetro.org/stopdetail/index.php?stop=3769,0,,,0,NE,F,1St,Great Britain,32
3770,3770,7201 S 1st/Prince Valiant,007201 1St & Prince Valiant,30.191724,-97.790325,,https://www.capmetro.org/stopdetail/index.php?stop=3770,0,,,0,SE,N,1St,Prince Valiant,0
3772,3772,7300 Menchaca/Matthews,007300 Menchaca & Matthews,30.198694,-97.808351,,https://www.capmetro.org/stopdetail/index.php?stop=3772,0,,,0,SW,M,Menchaca,Matthews,209
3773,3773,7504 Menchaca/Lear,007504 Menchaca & Lear,30.196326,-97.80986,,https://www.capmetro.org/stopdetail/index.php?stop=3773,0,,,0,SW,F,Menchaca,Lear,208
3774,3774,7800 Menchaca/Beauregard,007800 Menchaca & Beauregard,30.193854,-97.811433,,https://www.capmetro.org/stopdetail/index.php?stop=3774,0,,,0,SW,F,Menchaca,Beauregard,208
3775,3775,8200 Menchaca/Shiloh,008200 Menchaca & Shiloh,30.190828,-97.813363,,https://www.capmetro.org/stopdetail/index.php?stop=3775,0,,,0,SW,F,Menchaca,Shiloh,208
3776,3776,9304 Menchaca/Sedgemoor,009304 Menchaca & Sedgemoor,30.179515,-97.820578,,https://www.capmetro.org/stopdetail/index.php?stop=3776,0,,,0,SW,F,Menchaca,Sedgemoor,209
3777,3777,9303 Menchaca/Sedgemoor,009303 Menchaca & Sedgemoor,30.179446,-97.820242,,https://www.capmetro.org/stopdetail/index.php?stop=3777,0,,,0,SE,N,Menchaca,Sedgemoor,29
3778,3778,8125 Menchaca/Breyfogle,008125 Menchaca & Breyfogle,30.191575,-97.812505,,https://www.capmetro.org/stopdetail/index.php?stop=3778,0,,,0,NE,F,Menchaca,Breyfogle,29
3779,3779,Menchaca/Keilbar,007600 Menchaca & Keilbar,30.195119,-97.810248,,https://www.capmetro.org/stopdetail/index.php?stop=3779,0,,,0,SE,N,Menchaca,Keilbar,32
3795,3795,Research/Jamestown,008200 Research & Jamestown,30.355308,-97.714862,,https://www.capmetro.org/stopdetail/index.php?stop=3795,0,,,0,SE,N,Research,Jamestown,345
3796,3796,Research/Clearfield,008400 Research & Clearfield,30.357316,-97.715514,,https://www.capmetro.org/stopdetail/index.php?stop=3796,0,,,0,SE,N,Research,Clearfield,345
3797,3797,8523 Research/Fairfield,008523 Research & Fairfield,30.359988,-97.716313,,https://www.capmetro.org/stopdetail/index.php?stop=3797,0,,,0,SE,N,Research,Fairfield,347
3798,3798,8601 Research/Ohlen,008601 Research & Ohlen,30.362273,-97.716941,,https://www.capmetro.org/stopdetail/index.php?stop=3798,0,,,0,SE,M,Research,Ohlen,345
3799,3799,Research/Northgate,008800 Research & Northgate,30.368858,-97.718513,,https://www.capmetro.org/stopdetail/index.php?stop=3799,0,,,0,NE,F,Research,Northgate,334
3800,3800,Research/Metric,008900 Research & Metric,30.371864,-97.722558,,https://www.capmetro.org/stopdetail/index.php?stop=3800,0,,,0,NW,M,Research,Metric,296
3804,3804,10201 Jollyville/Great Hills,010201 Jollyville & Great Hills,30.395978,-97.749877,,https://www.capmetro.org/stopdetail/index.php?stop=3804,0,,,0,NE,M,Jollyville,Great Hills,356
3806,3806,4815 Braker/Jollyville,004815 Braker & Jollyville,30.400576,-97.748014,,https://www.capmetro.org/stopdetail/index.php?stop=3806,0,,,0,SE,M,Braker,Jollyville,89
3809,3809,11215 Research/Balcones Woods,011215 Research & Balcones Woods,30.408812,-97.744632,,https://www.capmetro.org/stopdetail/index.php?stop=3809,0,,,0,NE,M,Research,Balcones Woods,359
3810,3810,11411 Research/Windriver Apts,011411 Research & Balcones Woods,30.412532,-97.745139,,https://www.capmetro.org/stopdetail/index.php?stop=3810,0,,,0,NE,M,Research,Balcones Woods,349
3811,3811,11689 Research/Duval,011689 Research & Duval,30.417953,-97.746152,,https://www.capmetro.org/stopdetail/index.php?stop=3811,0,,,0,SE,N,Research,Duval,350
3812,3812,Research/Riata Apts,012209 Research & Riata Apts,30.42702,-97.75387,,https://www.capmetro.org/stopdetail/index.php?stop=3812,0,,,0,NW,F,Research,Riata Apts,298
3813,3813,12550 Research/Oak Knoll,012550 Research & Oak Knoll,30.43024,-97.76044,,https://www.capmetro.org/stopdetail/index.php?stop=3813,0,,,0,NW,M,Research,Oak Knoll,299
3818,3818,10409 Lake Creek/Mellow Meadows,010409 Lake Creek & Mellow Meadows,30.46064,-97.79704,,https://www.capmetro.org/stopdetail/index.php?stop=3818,0,,,0,NE,M,Lake Creek,Mellow Meadows,72
3820,3820,11101 Lakeline Mall/Pecan Park,011101 Lakeline Mall & Pecan Park,30.472089,-97.801043,,https://www.capmetro.org/stopdetail/index.php?stop=3820,0,,,0,SE,M,Lakeline Mall,Pecan Park,72
3823,3823,10204 Lake Creek/Pecan Park,010204 Lake Creek & Pecan Park,30.462437,-97.792001,,https://www.capmetro.org/stopdetail/index.php?stop=3823,0,,,0,NW,M,Lake Creek,Pecan Park,229
3824,3824,10323 Lake Creek/US 183,010300 Lake Creek & US 183,30.46091,-97.79649,,https://www.capmetro.org/stopdetail/index.php?stop=3824,0,,,0,NW,M,Lake Creek,US 183,266
3829,3829,Research Blvd/Barrington,012700 Research & Barrington,30.432985,-97.768027,,https://www.capmetro.org/stopdetail/index.php?stop=3829,0,,,0,SW,F,Research,Barrington,117
3830,3830,12574 Research/Jollyville,012574 Research & Jollyville,30.429237,-97.760501,,https://www.capmetro.org/stopdetail/index.php?stop=3830,0,,,0,SW,M,Research,Jollyville,119
